site,workload,mode,conc,throughtput,latency50pct,latency90pct,latency99pct,fastpath_count,coordinatoraccept_count,original_count
20c1s3r1p,rw_1000000,none_mencius,60,1591.8,741.74,1281.58,1444.02,,,
20c1s3r1p,rw_1000000,mencius_plus,3,1489.95,40.27,40.38,40.56,29799,0,0
20c1s3r1p,rw_1,copilot_plus,10,1118.4,179.47,204.37,222.12,3,16,22349
10c1s3r1p,rw_1,copilot_plus,20,1128.8,178.35,197.13,211.26,4,11,22561
20c1s3r1p,rw_1000,mencius_plus,40,,,,,,,
20c1s3r1p,rw_1000000,mencius_plus,20,9687.2,40.95,41.76,43.46,193668,0,76
10c1s3r1p,rw_1000000,mencius_plus,70,,,,,,,
20c1s3r1p,rw_1000000,none_paxos,10,1972.75,101.3,103.11,105.55,,,
20c1s3r1p,rw_1,paxos_plus,80,9503.85,167.6,180.96,202.46,12,121,189944
10c1s3r1p,rw_1,mencius_plus,80,,,,,,,
20c1s3r1p,rw_1,paxos_plus,40,5239.9,,,,,,
10c1s3r1p,rw_1000000,paxos_plus,100,19752.05,49.04,56.73,62.77,394545,3,493
20c1s3r1p,rw_1,mencius_plus,70,,,,,,,
20c1s3r1p,rw_1000,paxos_plus,100,14697.1,165.73,190.67,216.52,91047,6979,195916
10c1s3r1p,rw_1,paxos_plus,70,4580.4,152.93,155.84,164.6,1,191,91416
20c1s3r1p,rw_1000,paxos_plus,70,13191.0,151.26,161.52,173.72,116554,7241,140025
10c1s3r1p,rw_1,mencius_plus,40,1105.6,386.46,547.46,658.34,5,13,22094
10c1s3r1p,rw_1000,copilot_plus,60,3904.4,177.52,199.69,220.48,17208,51,60829
20c1s3r1p,rw_1000,mencius_plus,80,,,,,,,
20c1s3r1p,rw_1000000,none_copilot,70,9854.55,136.74,178.69,196.29,,,
20c1s3r1p,rw_1000,copilot_plus,60,6767.55,187.97,214.03,238.56,13633,94,121624
10c1s3r1p,rw_1000,paxos_plus,70,8218.55,42.59,153.88,158.12,98603,3263,62505
20c1s3r1p,rw_1,mencius_plus,3,,,,,,,
20c1s3r1p,rw_1,copilot_plus,120,11407.15,208.09,242.15,291.6,1,7,228135
10c1s3r1p,rw_1000,mencius_plus,80,,,,,,,
20c1s3r1p,rw_1,copilot_plus,90,8991.3,198.58,228.73,260.25,1,6,179819
20c1s3r1p,rw_1,copilot_plus,6,719.8,165.24,189.24,207.31,3,10,14383
20c1s3r1p,rw_1000000,none_paxos,90,10348.0,177.6,207.26,227.78,,,
20c1s3r1p,rw_1,paxos_plus,3,402.2,150.71,151.18,151.67,6,219,7819
20c1s3r1p,rw_1000000,none_copilot,3,597.2,100.51,100.8,101.3,,,
20c1s3r1p,rw_1,mencius_plus,30,,,,,,,
10c1s3r1p,rw_1,paxos_plus,30,1996.5,150.83,151.44,152.17,2,226,39702
10c1s3r1p,rw_1000,copilot_plus,20,1902.95,58.21,185.29,206.07,21161,20,16878
20c1s3r1p,rw_1000,paxos_plus,30,7343.35,41.93,153.14,159.95,92789,3013,51065
20c1s3r1p,rw_1,copilot_plus,1,132.05,150.84,156.28,166.77,4,5,2632
20c1s3r1p,rw_1000000,none_copilot,30,5551.8,107.1,117.23,124.58,,,
10c1s3r1p,rw_1000,paxos_plus,30,4528.1,40.36,150.7,152.95,69146,913,20503
20c1s3r1p,rw_1000,copilot_plus,20,2923.75,170.07,192.61,214.14,19078,48,39349
20c1s3r1p,rw_1000000,copilot_plus,100,20233.7,90.09,143.25,304.66,396385,2,8287
20c1s3r1p,rw_1000000,paxos_plus,50,18750.8,53.41,61.11,64.51,374503,2,511
10c1s3r1p,rw_1000000,copilot_plus,50,11496.05,42.48,45.67,49.98,229811,0,110
10c1s3r1p,rw_1000,mencius_plus,20,,,,,,,
20c1s3r1p,rw_1000,mencius_plus,120,,,,,,,
20c1s3r1p,rw_1000,mencius_plus,1,460.2,40.22,40.31,150.88,8932,1,271
10c1s3r1p,rw_1000,mencius_plus,3,678.25,40.21,40.32,150.92,13070,3,492
20c1s3r1p,rw_1000,copilot_plus,100,10215.05,199.93,231.65,264.02,11033,59,193209
20c1s3r1p,rw_1000000,paxos_plus,1,497.1,40.22,40.29,40.38,9942,0,0
20c1s3r1p,rw_1,mencius_plus,150,,,,,,,
20c1s3r1p,rw_1000,paxos_plus,6,2244.1,40.26,150.41,151.01,39473,122,5287
20c1s3r1p,rw_1000,mencius_plus,20,3205.9,94.53,248.23,360.37,42544,918,20656
20c1s3r1p,rw_1000000,mencius_plus,40,,,,,,,
10c1s3r1p,rw_1000000,mencius_plus,10,2466.9,40.48,40.7,41.03,49332,0,6
20c1s3r1p,rw_1000000,none_paxos,70,9396.8,148.07,186.94,195.73,,,
20c1s3r1p,rw_1000000,mencius_plus,150,18117.9,133.98,315.91,624.09,341551,1,20806
10c1s3r1p,rw_1,copilot_plus,40,2204.15,181.51,202.83,216.27,2,8,44073
20c1s3r1p,rw_1000000,none_copilot,120,14405.85,167.6,194.92,221.47,,,
10c1s3r1p,rw_1,copilot_plus,100,5280.25,,,,,,
20c1s3r1p,rw_1000,paxos_plus,1,471.25,40.21,40.28,150.74,9234,1,190
10c1s3r1p,rw_1000,paxos_plus,3,671.1,40.21,40.31,150.97,12873,6,543
20c1s3r1p,rw_1000,mencius_plus,6,,,,,,,
20c1s3r1p,rw_1000000,paxos_plus,6,2967.0,40.38,40.59,40.94,59331,0,9
20c1s3r1p,rw_1,copilot_plus,70,7118.4,196.88,220.05,253.52,2,10,142356
20c1s3r1p,rw_1000000,paxos_plus,120,25248.4,88.15,128.15,283.35,494575,4,10389
10c1s3r1p,rw_1000000,copilot_plus,10,2471.05,40.42,40.69,41.07,49419,0,2
