I [/root/cse532/mako/src/deptran/config.cc:269] 2025-12-24 01:36:46.124 | LoadYML: src/deptran/luigi/config/local-2shard-proc.yml
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.166 | DispatchOne: txn=110 ops=2 shards=1 keys=[key_97789->s1 key_18139->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.166 | DispatchOne: txn=111 ops=2 shards=1 keys=[key_72095->s0 key_85291->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.166 | DispatchOne: txn=112 ops=2 shards=1 keys=[key_11615->s1 key_88824->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.166 | DispatchOne: txn=113 ops=2 shards=2 keys=[key_59871->s1 key_3752->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=114 ops=2 shards=2 keys=[key_92338->s0 key_61621->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=115 ops=2 shards=2 keys=[key_57664->s1 key_73887->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=116 ops=2 shards=2 keys=[key_24919->s0 key_27940->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=117 ops=2 shards=1 keys=[key_77926->s0 key_95487->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=118 ops=2 shards=1 keys=[key_93389->s1 key_38999->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=119 ops=2 shards=1 keys=[key_36143->s0 key_49677->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=120 ops=2 shards=2 keys=[key_25327->s0 key_59165->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=121 ops=2 shards=2 keys=[key_62698->s0 key_23078->s1 ]
